date,region ,number_of_households,population_sum,population_male,population_female,population_18over_sum,population_18over_male,population_18over_female,population_65over_sum,population_65over_male,population_65over_female,  통  ,  반  ,area,composition_ratio
2023-01, 대연1동 ,9290,15787,7993,7794,14775,7486,7289,3677,1577,2100,31,175,1,4
2023-01, 대연3동 ,16199,33022,16168,16854,28032,13566,14466,4456,1933,2523,33,302,4,14
2023-01, 대연4동 ,5420,11991,5848,6143,10369,5012,5357,3015,1284,1731,20,153,1,4
2023-01, 대연5동 ,8354,16807,8050,8757,14908,7052,7856,3661,1593,2068,18,112,1,4
2023-01, 대연6동 ,5833,14929,7161,7768,12043,5717,6326,2446,1077,1369,16,108,1,4
2023-01, 용호1동 ,16997,43020,20600,22420,36255,17197,19058,8729,3821,4908,43,361,2,6
2023-01, 용호2동 ,7180,17602,8578,9024,14778,7134,7644,3861,1757,2104,23,185,2,8
2023-01, 용호3동 ,5602,11661,5624,6037,10665,5119,5546,3584,1540,2044,21,135,2,7
2023-01, 용호4동 ,3759,8122,3891,4231,7258,3442,3816,2157,923,1234,14,90,2,6
2023-01, 용 당 동 ,3469,8020,4055,3965,7043,3557,3486,1820,831,989,14,84,4,14
2023-01, 감만1동 ,4887,10427,5333,5094,9372,4786,4586,2861,1290,1571,25,175,3,10
2023-01, 감만2동 ,3340,6693,3276,3417,6121,2979,3142,2141,880,1261,14,85,1,3
2023-01, 우암동 ,5807,12638,6194,6444,11481,5579,5902,3942,1705,2237,29,219,1,5
2023-01, 문현1동 ,5198,11873,5821,6052,10525,5096,5429,2880,1222,1658,19,129,1,3
2023-01, 문현2동 ,4997,8194,4072,4122,7621,3768,3853,2138,907,1231,15,97,1,2
2023-01, 문현3동 ,7130,16729,8133,8596,14458,6979,7479,3434,1458,1976,23,155,1,3
2023-01, 문현4동 ,4206,8675,4219,4456,7965,3853,4112,2387,1003,1384,17,126,1,3
2023-02, 대연1동 ,9419,15873,8045,7828,14877,7549,7328,3678,1571,2107,31,175,1,4
2023-02, 대연3동 ,16446,33185,16265,16920,28239,13686,14553,4469,1941,2528,33,302,4,14
2023-02, 대연4동 ,5426,11952,5813,6139,10347,4987,5360,3024,1281,1743,20,153,1,4
2023-02, 대연5동 ,8392,16807,8052,8755,14915,7052,7863,3667,1597,2070,18,112,1,4
2023-02, 대연6동 ,5835,14871,7134,7737,12005,5703,6302,2462,1082,1380,16,108,1,4
2023-02, 용호1동 ,17015,43012,20611,22401,36256,17199,19057,8767,3833,4934,43,361,2,6
2023-02, 용호2동 ,7556,18386,8940,9446,15423,7423,8000,3986,1812,2174,23,185,2,8
2023-02, 용호3동 ,5567,11536,5567,5969,10575,5078,5497,3573,1535,2038,21,135,2,7
2023-02, 용호4동 ,3734,8015,3848,4167,7180,3410,3770,2151,922,1229,14,90,2,6
2023-02, 용 당 동 ,3462,8007,4037,3970,7027,3541,3486,1821,832,989,14,84,4,14
2023-02, 감만1동 ,4791,10198,5214,4984,9176,4687,4489,2804,1263,1541,25,175,3,10
2023-02, 감만2동 ,3355,6685,3279,3406,6126,2987,3139,2173,892,1281,14,85,1,3
2023-02, 우암동 ,5798,12600,6173,6427,11446,5557,5889,3961,1713,2248,29,219,1,5
2023-02, 문현1동 ,5074,11619,5697,5922,10294,4981,5313,2818,1198,1620,19,129,1,3
2023-02, 문현2동 ,4956,8129,4040,4089,7567,3744,3823,2133,905,1228,15,97,1,2
2023-02, 문현3동 ,7128,16714,8122,8592,14450,6975,7475,3460,1469,1991,23,155,1,3
2023-02, 문현4동 ,4255,8782,4271,4511,8053,3891,4162,2399,1007,1392,17,126,1,3
2023-03, 대연1동 ,9482,15905,8061,7844,14911,7564,7347,3699,1578,2121,31,175,1,4
2023-03, 대연3동 ,16583,33312,16338,16974,28402,13780,14622,4496,1949,2547,33,302,4,14
2023-03, 대연4동 ,5434,11945,5811,6134,10332,4984,5348,3037,1289,1748,20,153,1,4
2023-03, 대연5동 ,8403,16779,8040,8739,14901,7045,7856,3673,1596,2077,18,112,1,4
2023-03, 대연6동 ,5822,14856,7137,7719,11990,5703,6287,2483,1090,1393,16,108,1,4
2023-03, 용호1동 ,17018,42904,20539,22365,36197,17164,19033,8797,3841,4956,43,361,2,6
2023-03, 용호2동 ,7759,18760,9112,9648,15765,7587,8178,4061,1849,2212,23,185,2,8
2023-03, 용호3동 ,5558,11493,5556,5937,10543,5072,5471,3582,1542,2040,21,135,2,7
2023-03, 용호4동 ,3725,7975,3817,4158,7141,3378,3763,2164,926,1238,14,90,2,6
2023-03, 용 당 동 ,3459,7963,4028,3935,6989,3531,3458,1830,840,990,14,84,4,14
2023-03, 감만1동 ,4684,9986,5105,4881,8989,4592,4397,2739,1231,1508,26,181,3,10
2023-03, 감만2동 ,3347,6676,3269,3407,6119,2976,3143,2180,894,1286,14,85,1,3
2023-03, 우암동 ,5807,12590,6165,6425,11439,5552,5887,3984,1726,2258,29,219,1,5
2023-03, 문현1동 ,5022,11503,5640,5863,10197,4935,5262,2818,1200,1618,19,129,1,3
2023-03, 문현2동 ,4948,8106,4028,4078,7553,3735,3818,2138,907,1231,15,97,1,2
2023-03, 문현3동 ,7112,16691,8102,8589,14419,6957,7462,3465,1471,1994,23,155,1,3
2023-03, 문현4동 ,4299,8888,4323,4565,8144,3935,4209,2412,1014,1398,17,126,1,3
2023-04, 대연1동 ,9466,15834,8017,7817,14853,7526,7327,3717,1584,2133,31,175,1,4
2023-04, 대연3동 ,16603,33303,16331,16972,28400,13778,14622,4526,1957,2569,33,302,4,14
2023-04, 대연4동 ,5423,11916,5800,6116,10306,4975,5331,3048,1291,1757,20,153,1,4
2023-04, 대연5동 ,8420,16805,8061,8744,14922,7058,7864,3684,1603,2081,18,112,1,4
